# Generated from ExtraHop EDA at 192.168.0.16. Non-compliant server names in the last 30 days as at Wed Feb 27 14:08:04 2019.
device API id, Default Name, IPAddress, Display Name, MAC Address
45,Grandstream 192.168.0.195,192.168.0.195,Grandstream 192.168.0.195,00:0B:82:D1:0A:3F
44,devolo 192.168.0.161,192.168.0.161,devolo 192.168.0.161,30:D3:2D:3E:6D:CF
43,Grandstream D10A3F,,HT801,00:0B:82:D1:0A:3F
42,Apple 192.168.0.142,192.168.0.142,Apple 192.168.0.142,AC:87:A3:17:7E:2C
38,J125 NATIONAL SECURITY AGENCY 4FF82E,,centos1,00:20:91:4F:F8:2E
39,J125 NATIONAL SECURITY AGENCY 4FF824,,centos1,00:20:91:4F:F8:24
41,J125 NATIONAL SECURITY AGENCY 192.168.0.90,192.168.0.90,centos1,00:20:91:4F:F8:24
40,J125 NATIONAL SECURITY AGENCY 192.168.0.100,192.168.0.100,centos1,00:20:91:4F:F8:2E
33,devolo D5D7BD,,devolo D5D7BD,F4:06:8D:D5:D7:BD
32,HUMAX 56FFE7,,HUMAX 56FFE7,0C:08:B4:56:FF:E7
34,HUMAX 192.168.0.159,192.168.0.159,HUMAX 192.168.0.159,0C:08:B4:56:FF:E7
29,devolo D0C42E,,devolo D0C42E,F4:06:8D:D0:C4:2E
27,devolo 3E6DD0,,devolo 3E6DD0,30:D3:2D:3E:6D:D0
26,devolo 507160,,devolo 507160,F4:06:8D:50:71:60
28,devolo 50716D,,devolo 50716D,F4:06:8D:50:71:6D
25,Google 192.168.0.122,192.168.0.122,Google 192.168.0.122,70:3A:CB:2D:48:48
24,devolo 192.168.0.197,192.168.0.197,devolo 192.168.0.197,30:D3:2D:3E:6D:CF
23,ASUS 192.168.0.148,192.168.0.148,DESKTOP-RMUN15N.domain_not_set.invalid,14:DA:E9:BE:14:32
22,ASUS BE1432,,DESKTOP-RMUN15N,14:DA:E9:BE:14:32
21,Google 2D4848,,Google 2D4848,70:3A:CB:2D:48:48
17,ASUS 192.168.0.141,192.168.0.141,MARKS-PC.domain_not_set.invalid,90:E6:BA:F4:6E:4B
16,ASUS F46E4B,,Marks-PC,90:E6:BA:F4:6E:4B
14,Apple 192.168.0.140,192.168.0.140,MOGHIUM.domain_not_set.invalid,AC:87:A3:17:7E:2C
15,Samsung 192.168.0.75,192.168.0.75,Samsung 192.168.0.75,E4:E0:C5:95:75:CD
11,devolo 3E6DCF,,devolo 3E6DCF,30:D3:2D:3E:6D:CF
12,HP 192.168.0.92,192.168.0.92,Judes-HP,E8:39:35:59:AA:E0
8,Apple 177E2C,,Apple 177E2C,AC:87:A3:17:7E:2C
1,Genexis BV CFC581,,Genexis BV CFC581,00:0F:94:CF:C5:81
0,HP 59AAE0,,Judes-HP,E8:39:35:59:AA:E0
9,Genexis BV 192.168.0.1,192.168.0.1,Genexis BV 192.168.0.1,00:0F:94:CF:C5:81
2,ASUS 273937,,ASUS 273937,74:D0:2B:27:39:37
10,ASUS 192.168.0.98,192.168.0.98,192-168-0-98.e8bd5e94579c4a098b0497461b1b18c7.plex.direct,74:D0:2B:27:39:37
4,Samsung 9575CD,,Samsung 9575CD,E4:E0:C5:95:75:CD
